id	romaji	kana	reading_secondary	kanji	jlpt	jlpt_order	part_of_speech	part_of_speech_subtype	usage_register	frequency	meaning_en	meaning_id	formation	nuance	common_mistakes	related_expression	related_expression_detail	notes_en	notes_id	tags	rujukan_silang	status
ichiban-01	ichiban	いちばん	—	一番	N5	1	名詞 — Nomina (dipakai adverbial untuk menyatakan "paling")	—	—	—	See ～がいちばん — this entry redirects there.	Lihat ～がいちばん — silakan cari dengan kata kunci "がいちばん" untuk penjelasan lengkap.	—	—	—	がいちばん	—	—	—	redirect	Genki I; Minna no Nihongo I	redirect
ga-ichiban-01	ga ichiban	がいちばん	—	が一番	N5	1	名詞 + 助詞	格助詞「が」 — Nomina + Partikel Kasus「が」	Tidak ada	★★★★★ Sangat Umum	Indicates that something is considered the best, most, or number one within a certain scope or category — expresses a superlative judgment among a group or range of items.	Menunjukkan bahwa sesuatu dianggap paling/nomor satu dalam suatu cakupan atau kategori tertentu — dipakai untuk menyatakan superlatif di antara sekelompok pilihan.	N + が + いちばん	Netral	✕ 何がいちばんおいしいですか。(kalau pilihan hanya 3–4 benda konkret yang bisa dihitung/ditunjuk satu per satu, seharusnya pakai どれ／どの, bukan 何 — lihat perbandingan di bawah)	いちばん	がいちばん vs. いちばん (bentuk dasar): いちばん sendiri hanya nomina/kata keterangan "nomor satu/paling", belum berfungsi sebagai predikat superlatif lengkap. ～がいちばん adalah pola predikat penuh yang menyatakan "X paling ..." dalam suatu kelompok/kategori — bentuk yang sebenarnya dipakai dalam kalimat.	Note there is a structurally different pattern using を instead of が (e.g. どれをいちばんよく使いますか, "which do you use the most") — there いちばん functions adverbially to modify the verb, not as part of a ～がいちばん predicate. This should likely be documented as a separate related entry.	Perhatikan ada pola berbeda secara struktur yang memakai を, bukan が (misal どれをいちばんよく使いますか, "mana yang paling sering dipakai") — di situ いちばん berfungsi sebagai keterangan yang memodifikasi verba, bukan bagian dari predikat ～がいちばん. Sebaiknya ini didokumentasikan sebagai entri terkait terpisah.	superlative, comparison	Genki I; Minna no Nihongo I; A Dictionary of Basic Japanese Grammar	final
ga-hoshii-01	ga hoshii	がほしい	—	が欲しい	N5	1	名詞 + 助詞 + 形容詞	格助詞「が」+ 形容詞「ほしい」 — Partikel Kasus「が」+ Adjektiva-i「ほしい」	Percakapan	★★★★★ Sangat Umum	Expresses the speaker's own desire to obtain or have something (first person); can also be used to ask about the listener's desire, but is best avoided when addressing a social superior directly.	Menyatakan keinginan pembicara sendiri untuk memiliki/mendapatkan sesuatu (orang pertama); bisa juga dipakai untuk menanyakan keinginan lawan bicara, tapi sebaiknya dihindari kalau dipakai langsung ke atasan/orang yang dihormati.	N + が + ほしい; N + が + ほしかった; N + が + ほしくない; N + が + ほしくなかった	Subjektif	✕ 先生、何がほしいですか。（kurang sopan dipakai langsung ke atasan — dalam konteks di restoran, ganti dengan ungkapan hormat yang sesuai, misal「先生、何を召し上がりますか」）; ✕ タンさんは日本人の友だちがほしいです。（tidak bisa menyatakan keinginan orang ketiga langsung dengan がほしい di akhir kalimat — lihat perbandingan di bawah）	ほしがる; ほしがっている; たい	がほしい vs. ほしがっている: 私は新しい車がほしいです。→ keinginan orang pertama, dinyatakan langsung, objek ditandai が. 彼は新しい車をほしがっています。→ keinginan orang ketiga, dinyatakan dari sudut pandang pengamat luar (akhiran がる mengubah adjektiva subjektif jadi verba yang menyatakan tanda-tanda keinginan dari luar), objek ditandai を, bukan が. || がほしい vs. たい: がほしい menyatakan keinginan terhadap suatu benda/nomina (Nがほしい), sedangkan たい menyatakan keinginan melakukan suatu tindakan (Vたい) — keduanya berbagi aturan pembatasan orang yang sama (langsung untuk orang pertama; orang ketiga wajib pakai ～がっている atau ～と言っている).	ほしい conjugates exactly like an i-adjective. The suffix がる (as in ほしがる) is a broader pattern that also applies to たい (→ たがる) — both turn a subjective, first-person-only predicate into an observable-behavior verb usable for third-person subjects.	ほしい berkonjugasi persis seperti adjektiva-i biasa. Akhiran がる (seperti pada ほしがる) adalah pola yang lebih luas dan juga berlaku pada たい (→ たがる) — keduanya mengubah predikat subjektif yang terbatas orang pertama menjadi verba yang menyatakan perilaku teramati, sehingga bisa dipakai untuk subjek orang ketiga.	desire, i-adjective-pattern	Genki I; Minna no Nihongo I; A Dictionary of Basic Japanese Grammar	final
kudasai-01	kudasai	ください	—	下さい	N5	1	動詞 — Verba (bentuk permintaan sopan, dari 尊敬動詞 くださる)	—	—	—	See ～をください — this entry redirects there.	Lihat ～をください — silakan cari dengan kata kunci "をください" untuk penjelasan lengkap.	—	—	—	をください	—	—	—	redirect	Genki I; Minna no Nihongo I	redirect
shiteiru-01	shiteiru	している	—	—	N5	1	動詞（サ変動詞）	ている形 — Verba (Golongan Sa-Henkaku), Bentuk Kontinuatif「ている」	—	—	See ～をしている — this entry redirects there.	Lihat ～をしている — silakan cari dengan kata kunci "をしている" untuk penjelasan lengkap.	—	—	—	をしている	—	—	—	redirect	Genki I; Minna no Nihongo I	redirect
suru-01	suru	する	—	—	N5	1	動詞（サ変動詞）— Verba (Golongan Sa-Henkaku)	—	—	—	See ～にする — this entry redirects there.	Lihat ～にする — silakan cari dengan kata kunci "にする" untuk penjelasan lengkap.	—	—	—	にする	—	—	—	redirect	Genki I; Minna no Nihongo I	redirect
tai-01	tai	たい	—	—	N5	1	助動詞	希望 — Verba Bantu (Penunjuk Keinginan/Harapan)	Tidak ada	★★★★★ Sangat Umum	Expresses the speaker's own desire or wish to perform an action; can also be used to ask about the listener's desires.	Menyatakan keinginan/harapan pembicara sendiri untuk melakukan suatu tindakan; bisa juga dipakai untuk menanyakan keinginan lawan bicara.	Vます + たい; Vます + たかった; Vます + たくない; Vます + たくなかった	Subjektif	✕ 課長、何が買いたいですか。（kurang sopan dipakai langsung ke atasan — ganti dengan ungkapan hormat, misal「課長、何をお買いになりますか」）; ✕ 森さんは林さんに会いたいです。（tidak bisa menyatakan keinginan orang ketiga langsung di akhir kalimat — perlu tambahan がっている／と言っている／と思っている／ようだ, lihat perbandingan di bawah）	たがる; たがっている; がほしい	たい vs. たがっている: 私は水が飲みたいです。→ keinginan orang pertama dinyatakan langsung. 彼は水を飲みたがっています。→ keinginan orang ketiga, akhiran がる mengubah predikat subjektif jadi verba pengamatan luar, objek kembali ditandai を. || たい vs. がほしい: Vたい menyatakan keinginan melakukan suatu tindakan (食べたい), sedangkan Nがほしい menyatakan keinginan terhadap suatu benda/nomina (車がほしい) — keduanya berbagi aturan pembatasan orang yang sama dan konjugasi mengikuti pola adjektiva-i.	Note the を/が alternation with transitive verbs — the direct object often switches from を to が when using たい (e.g. ビールを飲む → ビールが飲みたい), though を remains grammatical, especially with longer or complex objects.	Perhatikan pertukaran partikel を/が pada verba transitif — objek langsung sering berubah dari を jadi が saat memakai たい (misal ビールを飲む → ビールが飲みたい), meskipun を tetap gramatikal, terutama untuk objek yang panjang/kompleks.	desire, i-adjective-pattern, third-person-restriction	Genki I; Minna no Nihongo I; A Dictionary of Basic Japanese Grammar	final
dakara-01	dakara	だから	—	—	N5	1	接続詞 — Konjungsi	—	—	—	See ～のだから — this entry redirects there.	Lihat ～のだから — silakan cari dengan kata kunci "のだから" untuk penjelasan lengkap.	—	—	—	のだから	—	—	—	redirect	Genki I; Minna no Nihongo I	redirect
te-01	te	て	—	—	N5	1	助詞 — Partikel (bentuk dasar; entri ini redirect ke bentuk kasual)	—	—	—	See ～って — this entry redirects there.	Lihat ～って — silakan cari dengan kata kunci "って" untuk penjelasan lengkap.	—	—	—	って	—	—	—	redirect, homonym	—	redirect
te-heiretsu-taihi-01	te	て	—	—	N5	1	動詞（連用形＋音便）	て形 — Verba (Bentuk Te), Penghubung Klausa	Tidak ada	★★★★★ Sangat Umum	Loosely connects a preceding clause to a following one using the te-form of a verb; can express parallel actions/states or a contrast between them, depending on context.	Menghubungkan klausa sebelumnya dengan klausa berikutnya secara longgar menggunakan bentuk-te verba; bisa menyatakan tindakan/keadaan yang sejajar (paralel) atau kontras, tergantung konteks.	Vて + klausa berikutnya	Netral	✕ 朝はパンを食べてが、コーヒーを飲みます。（bentuk-te tidak boleh langsung diikuti partikel lain seperti が — cukup jeda/koma alami setelah klausa pertama）	し; が; けど	て〈並列・対比〉 vs. し: 朝はパンを食べて、コーヒーを飲みます。→ menghubungkan tindakan berurutan/paralel secara netral, tanpa menyiratkan alasan. 安いし、美味しいです。→ し menambahkan alasan tambahan, bukan sekadar urutan. || て〈並列・対比〉 vs. が／けど: 兄は背が高くて、弟は背が低いです。→ kontras dinyatakan secara halus/tidak langsung lewat bentuk-te. 兄は背が高いが、弟は背が低いです。→ kontras dinyatakan lebih eksplisit dan formal lewat konjungsi が.	Whether a te-form clause reads as parallel or contrastive depends entirely on context and the semantic relationship between the two clauses — there is no separate grammatical marker distinguishing the two readings. This is a separate function from the homonymous て entry that redirects to って (casual quotation contraction) — see te-01.	Apakah klausa dengan bentuk-te dibaca sebagai paralel atau kontras sepenuhnya bergantung pada konteks dan hubungan makna antara kedua klausa — tidak ada penanda gramatikal terpisah yang membedakan kedua pembacaan ini. Ini fungsi terpisah dari entri homonim て yang redirect ke って (kontraksi kasual kutipan) — lihat te-01.	connective, te-form, homonym	Genki I; Minna no Nihongo I; A Dictionary of Basic Japanese Grammar	final
