entry_id	pattern_name	jp	romaji	en	id_terjemahan	urutan																
ga-ichiban-01	Perbandingan dalam Kelompok (～の中で)	Ａ：リーさんはくだものの中で、何がいちばん好きですか。 Ｂ：オレンジがいちばん好きです。	A: Rii-san wa kudamono no naka de, nani ga ichiban suki desu ka. B: Orenji ga ichiban suki desu.	A: Among fruits, what do you like the most? B: I like oranges the most.	A: Di antara buah-buahan, apa yang paling kamu suka? B: Saya paling suka jeruk.	1																
ga-ichiban-01	Perbandingan pada Keseluruhan Tak Terbagi (～で)	世界でいちばん有名な人はだれでしょうか。	Sekai de ichiban yuumei na hito wa dare deshou ka.	Who do you think is the most famous person in the world?	Menurutmu siapa orang paling terkenal di dunia?	2																
ga-hoshii-01	Keinginan Orang Pertama	わたしは新しいノートパソコンがほしいです。	Watashi wa atarashii nooto pasokon ga hoshii desu.	I want a new laptop.	Saya ingin laptop baru.	1																
ga-hoshii-01	Menanyakan Keinginan Lawan Bicara	Ａ：今、いちばんほしいものは何ですか。 Ｂ：そうですね。寝る時間がほしいです。	A: Ima, ichiban hoshii mono wa nan desu ka. B: Sou desu ne. Neru jikan ga hoshii desu.	A: What do you want the most right now? B: Let's see... I want time to sleep.	A: Sekarang, apa yang paling kamu inginkan? B: Hmm... saya ingin waktu untuk tidur.	2																
tai-01	Keinginan Melakukan Tindakan	夏休みには富士山に登りたいです。	Natsuyasumi ni wa Fujisan ni noboritai desu.	I want to climb Mt. Fuji during summer vacation.	Saya ingin mendaki Gunung Fuji saat liburan musim panas.	1																
tai-01	Menanyakan Keinginan Lawan Bicara	君は将来何になりたいの。	Kimi wa shourai nani ni naritai no.	What do you want to become in the future?	Kamu ingin jadi apa di masa depan?	2																
tai-01	Perubahan Partikel を→が pada Verba Transitif	ああ、暑い。冷たいビールが飲みたいなあ。	Aa, atsui. Tsumetai biiru ga nomitai naa.	Ugh, it's hot. I really want to drink a cold beer.	Aduh, panas. Saya benar-benar ingin minum bir dingin.	3																
te-heiretsu-taihi-01	Paralel (Urutan/Kesejajaran Tindakan)	朝はパンを食べて、コーヒーを飲みます。	Asa wa pan o tabete, koohii o nomimasu.	In the morning, I eat bread and drink coffee.	Pagi hari saya makan roti dan minum kopi.	1																
te-heiretsu-taihi-01	Kontras (Perbedaan antara Dua Klausa)	わたしは昼は学校で勉強して、夜は英語学校で英語を教えています。	Watashi wa hiru wa gakkou de benkyou shite, yoru wa eigo gakkou de eigo o oshiete imasu.	During the day I study at school, while at night I teach English at an English school.	Siang hari saya belajar di sekolah, sedangkan malam hari saya mengajar bahasa Inggris di sekolah bahasa Inggris.	2																
																						
