entry_id	meaning_label	language	term	urutan
ga-ichiban-01	utama	en	the most	1
ga-ichiban-01	utama	en	best	2
ga-ichiban-01	utama	en	number one	3
ga-ichiban-01	utama	id	paling	1
ga-ichiban-01	utama	id	paling ... di antara	2
ga-ichiban-01	utama	id	nomor satu	3
ga-hoshii-01	utama	en	want (something)	1
ga-hoshii-01	utama	en	would like (something)	2
ga-hoshii-01	utama	id	ingin (memiliki)	1
ga-hoshii-01	utama	id	mau (punya)	2
tai-01	utama	en	want to (do)	1
tai-01	utama	en	would like to (do)	2
tai-01	utama	id	ingin (melakukan)	1
tai-01	utama	id	mau (melakukan)	2
te-heiretsu-taihi-01	paralel	en	and	1
te-heiretsu-taihi-01	paralel	en	and then	2
te-heiretsu-taihi-01	paralel	id	dan	1
te-heiretsu-taihi-01	paralel	id	lalu	2
te-heiretsu-taihi-01	kontras	en	but	1
te-heiretsu-taihi-01	kontras	en	while	2
te-heiretsu-taihi-01	kontras	id	sedangkan	1
te-heiretsu-taihi-01	kontras	id	tapi	2
