kanji,unicode,jumlah_goresan,joyo_status,joyo_urutan,kyouiku_kelas_sd,grade_kanjiapi,jlpt_baru,jlpt_lama,kanken_level,kanken_level_alt,kanken_kyu_resmi,kanken_dict_page,kanken_url,kanjipedia_url,freq_rank_mainichi_shinbun,on_yomi,kun_yomi,nanori,meanings_en,meaning_jp,bentuk_lama_kyuujitai,radikal_kanken,radikal_info_kanken,jukugo_contoh,jumlah_kosakata_terkait,antonim,sinonim,mirip_bentuk,varian,struktur_dekomposisi_kanjivg,elemen_kanjivg,radikal_kanjivg,radikal_posisi_kiri_kanan,radikal_posisi_atas_bawah,jis_menkuten,jis_unicode,jis_level,kategori_nama_anak,kanken_zititai_kubun,sumber
㐂,3402,6,FALSE,,,,,,,,,,,,,,,,,,,,,,1,,,,"[""喜""]",,,,,,1-14-03,U+3402,3,,,"{""kanji_gabungan_1"": true, ""kanji_gabungan_2_kanjivg"": false, ""kanji_gabungan_3_kanjidic2"": true, ""kanji_gabungan_4_kanjiapi"": true}"
㐆,3406,6,FALSE,,,,,,,,,,,,,,,,"[""to depend on"", ""to follow"", ""to put confidence in"", ""to trust to"", ""to turn around"", ""to turn the body""]",,,,,,0,,,,,,,,,,2-01-13,U+3406,4,,,"{""kanji_gabungan_1"": true, ""kanji_gabungan_2_kanjivg"": false, ""kanji_gabungan_3_kanjidic2"": true, ""kanji_gabungan_4_kanjiapi"": true}"
㐬,342C,7,FALSE,,,,,,,,,,,,,,,,"[""a cup with pendants"", ""a pennant"", ""barren"", ""uncultivated"", ""wild""]",,,,,,0,,,,"[""荒""]","{""element"": ""㐬"", ""g"": [{""g"": [{""element"": ""亠""}, {""element"": ""厶""}]}, {""element"": ""川"", ""variant"": ""true"", ""original"": ""巛""}]}","[""川"", ""亠"", ""厶""]","[""亠"", ""厶"", ""川""]",,,2-01-18,U+342C,4,,,"{""kanji_gabungan_1"": true, ""kanji_gabungan_2_kanjivg"": true, ""kanji_gabungan_3_kanjidic2"": true, ""kanji_gabungan_4_kanjiapi"": true}"
㐮,342E,13,FALSE,,,,,,,,,,,,,,,,"[""to achieve"", ""to assist"", ""to help"", ""to raise"", ""to rise""]",,,,,,0,,,,"[""襄""]",,,,,,2-01-19,U+342E,4,,,"{""kanji_gabungan_1"": true, ""kanji_gabungan_2_kanjivg"": false, ""kanji_gabungan_3_kanjidic2"": true, ""kanji_gabungan_4_kanjiapi"": true}"
㑨,3468,10,FALSE,,,,,,,,,,,,,,,,"[""big"", ""great"", ""high in rank"", ""much"", ""noble"", ""tall"", ""vast"", ""very""]",,,,,,0,,,,"[""侯""]",,,,,,2-01-62,U+3468,4,,,"{""kanji_gabungan_1"": true, ""kanji_gabungan_2_kanjivg"": false, ""kanji_gabungan_3_kanjidic2"": true, ""kanji_gabungan_4_kanjiapi"": true}"
㑪,346A,10,FALSE,,,,,,,,,,,,,,,,"[""a class"", ""a generation"", ""a kind"", ""a series""]",,,,,,0,,,,,,,,,,2-01-54,U+346A,4,,,"{""kanji_gabungan_1"": true, ""kanji_gabungan_2_kanjivg"": false, ""kanji_gabungan_3_kanjidic2"": true, ""kanji_gabungan_4_kanjiapi"": true}"
㒒,3492,15,FALSE,,,,,,,,,,,,,,,,"[""a charioteer"", ""a servant"", ""a slave"", ""used conventionally for oneself""]",,,,,,0,,,,,,,,,,2-01-94,U+3492,4,,,"{""kanji_gabungan_1"": true, ""kanji_gabungan_2_kanjivg"": false, ""kanji_gabungan_3_kanjidic2"": true, ""kanji_gabungan_4_kanjiapi"": true}"
㒵,34B5,7,FALSE,,,,,,,,,,,,,,"[""かお""]",,"[""appearance"", ""bearing"", ""face"", ""form"", ""manner""]",,,,,,0,,,,,,,,,,1-14-51,U+34B5,3,,,"{""kanji_gabungan_1"": true, ""kanji_gabungan_2_kanjivg"": false, ""kanji_gabungan_3_kanjidic2"": true, ""kanji_gabungan_4_kanjiapi"": true}"
㒼,34BC,11,FALSE,,,,,,,,,,,,,,,,"[""average"", ""corresponding"", ""equivalent"", ""to cover something carefully and tightly without a break""]",,,,,,0,,,,,,,,,,2-03-11,U+34BC,4,,,"{""kanji_gabungan_1"": true, ""kanji_gabungan_2_kanjivg"": false, ""kanji_gabungan_3_kanjidic2"": true, ""kanji_gabungan_4_kanjiapi"": true}"
㓁,34C1,4,FALSE,,,,,,,,,,,,,,,,"[""a net"", ""net-like"", ""radical 122""]",,,,,,0,,,,,"{""element"": ""㓁"", ""g"": [{""element"": ""冖""}, {""element"": ""儿"", ""original"": ""八"", ""g"": [{""element"": ""丿""}]}]}","[""冖"", ""儿"", ""丿""]","[""冖"", ""儿""]",,"[""冖"", ""儿""]",2-84-72,U+34C1,4,,,"{""kanji_gabungan_1"": true, ""kanji_gabungan_2_kanjivg"": true, ""kanji_gabungan_3_kanjidic2"": true, ""kanji_gabungan_4_kanjiapi"": true}"
